"obs_date","tsi_freight"
"2000-01-01T00:00:00.000","104.9"
"2000-02-01T00:00:00.000","103.1"
"2000-03-01T00:00:00.000","99.7"
"2000-04-01T00:00:00.000","97.9"
"2000-05-01T00:00:00.000","98.9"
"2000-06-01T00:00:00.000","99.9"
"2000-07-01T00:00:00.000","97.7"
"2000-08-01T00:00:00.000","99.7"
"2000-09-01T00:00:00.000","99.7"
"2000-10-01T00:00:00.000","99.5"
"2000-11-01T00:00:00.000","100"
"2000-12-01T00:00:00.000","98.9"
"2001-01-01T00:00:00.000","99.3"
"2001-02-01T00:00:00.000","99.2"
"2001-03-01T00:00:00.000","99.5"
"2001-04-01T00:00:00.000","97.9"
"2001-05-01T00:00:00.000","99.4"
"2001-06-01T00:00:00.000","98.6"
"2001-07-01T00:00:00.000","97.7"
"2001-08-01T00:00:00.000","99.2"
"2001-09-01T00:00:00.000","98"
"2001-10-01T00:00:00.000","98.8"
"2001-11-01T00:00:00.000","98"
"2001-12-01T00:00:00.000","97.6"
"2002-01-01T00:00:00.000","98.7"
"2002-02-01T00:00:00.000","99.7"
"2002-03-01T00:00:00.000","98.9"
"2002-04-01T00:00:00.000","99.6"
"2002-05-01T00:00:00.000","100.9"
"2002-06-01T00:00:00.000","101.4"
"2002-07-01T00:00:00.000","102.7"
"2002-08-01T00:00:00.000","102.4"
"2002-09-01T00:00:00.000","102.9"
"2002-10-01T00:00:00.000","104.3"
"2002-11-01T00:00:00.000","104.6"
"2002-12-01T00:00:00.000","104.9"
"2003-01-01T00:00:00.000","104"
"2003-02-01T00:00:00.000","103.1"
"2003-03-01T00:00:00.000","103.5"
"2003-04-01T00:00:00.000","103.8"
"2003-05-01T00:00:00.000","102.8"
"2003-06-01T00:00:00.000","102.7"
"2003-07-01T00:00:00.000","104.1"
"2003-08-01T00:00:00.000","103.6"
"2003-09-01T00:00:00.000","104.8"
"2003-10-01T00:00:00.000","106.5"
"2003-11-01T00:00:00.000","106"
"2003-12-01T00:00:00.000","108.6"
"2004-01-01T00:00:00.000","107.6"
"2004-02-01T00:00:00.000","107.8"
"2004-03-01T00:00:00.000","110.2"
"2004-04-01T00:00:00.000","110.5"
"2004-05-01T00:00:00.000","110.2"
"2004-06-01T00:00:00.000","110.9"
"2004-07-01T00:00:00.000","111"
"2004-08-01T00:00:00.000","110"
"2004-09-01T00:00:00.000","110.6"
"2004-10-01T00:00:00.000","111.1"
"2004-11-01T00:00:00.000","112"
"2004-12-01T00:00:00.000","111.6"
"2005-01-01T00:00:00.000","113.8"
"2005-02-01T00:00:00.000","113"
"2005-03-01T00:00:00.000","112.2"
"2005-04-01T00:00:00.000","112.9"
"2005-05-01T00:00:00.000","112.2"
"2005-06-01T00:00:00.000","111.7"
"2005-07-01T00:00:00.000","111.7"
"2005-08-01T00:00:00.000","112.5"
"2005-09-01T00:00:00.000","111.5"
"2005-10-01T00:00:00.000","111"
"2005-11-01T00:00:00.000","113.7"
"2005-12-01T00:00:00.000","112.3"
"2006-01-01T00:00:00.000","112.4"
"2006-02-01T00:00:00.000","111.5"
"2006-03-01T00:00:00.000","112"
"2006-04-01T00:00:00.000","111.2"
"2006-05-01T00:00:00.000","113.5"
"2006-06-01T00:00:00.000","113"
"2006-07-01T00:00:00.000","111.8"
"2006-08-01T00:00:00.000","109.6"
"2006-09-01T00:00:00.000","112.8"
"2006-10-01T00:00:00.000","110.8"
"2006-11-01T00:00:00.000","108.5"
"2006-12-01T00:00:00.000","110.6"
"2007-01-01T00:00:00.000","109.9"
"2007-02-01T00:00:00.000","110.5"
"2007-03-01T00:00:00.000","111.7"
"2007-04-01T00:00:00.000","110.3"
"2007-05-01T00:00:00.000","110.4"
"2007-06-01T00:00:00.000","109.7"
"2007-07-01T00:00:00.000","108.7"
"2007-08-01T00:00:00.000","109.6"
"2007-09-01T00:00:00.000","109.3"
"2007-10-01T00:00:00.000","110.9"
"2007-11-01T00:00:00.000","110.7"
"2007-12-01T00:00:00.000","110.7"
"2008-01-01T00:00:00.000","113.4"
"2008-02-01T00:00:00.000","111.1"
"2008-03-01T00:00:00.000","109.6"
"2008-04-01T00:00:00.000","111.6"
"2008-05-01T00:00:00.000","111.3"
"2008-06-01T00:00:00.000","109.9"
"2008-07-01T00:00:00.000","111.1"
"2008-08-01T00:00:00.000","109"
"2008-09-01T00:00:00.000","107.4"
"2008-10-01T00:00:00.000","107.4"
"2008-11-01T00:00:00.000","104.2"
"2008-12-01T00:00:00.000","100.4"
"2009-01-01T00:00:00.000","98.6"
"2009-02-01T00:00:00.000","101.1"
"2009-03-01T00:00:00.000","95.8"
"2009-04-01T00:00:00.000","94.9"
